game_index,category,split,seed,lineup,rewards,statuses,winners
67,without_mine,train,20260682,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
68,without_mine,train,20260683,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
69,without_mine,train,20260684,best intruder smith 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
72,without_mine,train,20260687,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
70,without_mine,train,20260685,best intruder 1200 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
73,without_mine,train,20260688,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
71,without_mine,train,20260686,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
77,without_mine,train,20260692,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
74,without_mine,train,20260689,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
75,without_mine,train,20260690,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
78,without_mine,train,20260693,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
80,without_mine,train,20260695,best intruder 1200 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
79,without_mine,train,20260694,best intruder smith 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
81,without_mine,test,20260696,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
83,without_mine,test,20260698,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
82,without_mine,test,20260697,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
85,without_mine,test,20260700,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
86,without_mine,test,20260701,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
76,without_mine,train,20260691,best 1039,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""1039""]"
84,without_mine,test,20260699,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
87,without_mine,test,20260702,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
88,without_mine,test,20260703,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
91,without_mine,test,20260706,best intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
93,without_mine,test,20260708,intruder smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
89,without_mine,test,20260704,best intruder smith 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
92,without_mine,test,20260707,best smith,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
90,without_mine,test,20260705,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
94,without_mine,test,20260709,best 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
96,without_mine,test,20260711,best 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""best""]"
97,without_mine,test,20260712,intruder 1039,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
99,without_mine,test,20260714,best intruder smith 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
98,without_mine,test,20260713,best intruder smith 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
95,without_mine,test,20260710,intruder 1200,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""intruder""]"
100,without_mine,test,20260715,best intruder 1200 1039,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
101,with_mine,train,20260716,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
102,with_mine,train,20260717,mine intruder,"[1.0, -1.0]","[""DONE"", ""DONE""]","[""mine""]"
103,with_mine,train,20260718,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
104,with_mine,train,20260719,mine best intruder 1200,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
105,with_mine,train,20260720,mine best intruder 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
107,with_mine,train,20260722,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
109,with_mine,train,20260724,mine best intruder 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
108,with_mine,train,20260723,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
106,with_mine,train,20260721,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
110,with_mine,train,20260725,mine best intruder 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
112,with_mine,train,20260727,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
113,with_mine,train,20260728,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
111,with_mine,train,20260726,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
114,with_mine,train,20260729,mine best intruder 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
116,with_mine,train,20260731,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
115,with_mine,train,20260730,mine best intruder 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
117,with_mine,train,20260732,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
118,with_mine,train,20260733,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
119,with_mine,train,20260734,mine best intruder 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
121,with_mine,train,20260736,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
120,with_mine,train,20260735,mine best intruder 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
122,with_mine,train,20260737,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
123,with_mine,train,20260738,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
124,with_mine,train,20260739,mine best intruder 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
127,with_mine,train,20260742,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
126,with_mine,train,20260741,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
125,with_mine,train,20260740,mine best intruder 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
128,with_mine,train,20260743,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
130,with_mine,train,20260745,mine best intruder 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
132,with_mine,train,20260747,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
131,with_mine,train,20260746,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
129,with_mine,train,20260744,mine best intruder 1200,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
133,with_mine,train,20260748,mine best intruder smith,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
135,with_mine,train,20260750,mine best intruder 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
134,with_mine,train,20260749,mine best intruder 1200,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
136,with_mine,train,20260751,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
137,with_mine,train,20260752,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
140,with_mine,train,20260755,mine best intruder 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
139,with_mine,train,20260754,mine best intruder 1200,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
138,with_mine,train,20260753,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
141,with_mine,train,20260756,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
142,with_mine,train,20260757,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
143,with_mine,train,20260758,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
145,with_mine,train,20260760,mine best intruder 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
147,with_mine,train,20260762,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
144,with_mine,train,20260759,mine best intruder 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
148,with_mine,train,20260763,mine best intruder smith,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
150,with_mine,train,20260765,mine best intruder 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
146,with_mine,train,20260761,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
149,with_mine,train,20260764,mine best intruder 1200,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
152,with_mine,train,20260767,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
151,with_mine,train,20260766,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
153,with_mine,train,20260768,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
154,with_mine,train,20260769,mine best intruder 1200,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
155,with_mine,train,20260770,mine best intruder 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
157,with_mine,train,20260772,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
156,with_mine,train,20260771,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
158,with_mine,train,20260773,mine best intruder smith,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
160,with_mine,train,20260775,mine best intruder 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
159,with_mine,train,20260774,mine best intruder 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
162,with_mine,train,20260777,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
163,with_mine,train,20260778,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
161,with_mine,train,20260776,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
164,with_mine,train,20260779,mine best intruder 1200,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
165,with_mine,train,20260780,mine best intruder 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
166,with_mine,train,20260781,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
170,with_mine,train,20260785,mine best intruder 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
167,with_mine,train,20260782,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
168,with_mine,train,20260783,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
169,with_mine,train,20260784,mine best intruder 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
173,with_mine,train,20260788,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
171,with_mine,train,20260786,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
172,with_mine,train,20260787,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
175,with_mine,train,20260790,mine best intruder 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
176,with_mine,train,20260791,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
177,with_mine,train,20260792,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
178,with_mine,train,20260793,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
180,with_mine,train,20260795,mine best intruder 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
174,with_mine,train,20260789,mine best intruder 1200,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""mine""]"
181,with_mine,test,20260796,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
182,with_mine,test,20260797,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
179,with_mine,train,20260794,mine best intruder 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
184,with_mine,test,20260799,mine best intruder 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
183,with_mine,test,20260798,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
185,with_mine,test,20260800,mine best intruder 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
188,with_mine,test,20260803,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
187,with_mine,test,20260802,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
190,with_mine,test,20260805,mine best intruder 1039,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
186,with_mine,test,20260801,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
191,with_mine,test,20260806,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
192,with_mine,test,20260807,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
193,with_mine,test,20260808,mine best intruder smith,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
196,with_mine,test,20260811,mine best,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""best""]"
194,with_mine,test,20260809,mine best intruder 1200,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
195,with_mine,test,20260810,mine best intruder 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
198,with_mine,test,20260813,mine best intruder smith,"[-1.0, 1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""best""]"
197,with_mine,test,20260812,mine intruder,"[-1.0, 1.0]","[""DONE"", ""DONE""]","[""intruder""]"
189,with_mine,test,20260804,mine best intruder 1200,"[1.0, -1.0, -1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""mine""]"
199,with_mine,test,20260814,mine best intruder 1200,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
200,with_mine,test,20260815,mine best intruder 1039,"[-1.0, -1.0, 1.0, -1.0]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""intruder""]"
